#numPI[l][m][n]/numK[l][m][n] is filled
0 7 4 0.134701 =309.56/2298.13    AC1<1, 1.4<AC2<8
0 7 5 0.131496 =369.304/2808.49    AC1<1, 1.4<AC2<9
0 7 6 0.139754 =455.448/3258.92    AC1<1, 1.4<AC2<10
0 7 7 0.143074 =519.749/3632.72    AC1<1, 1.4<AC2<11
0 7 8 0.146144 =571.869/3913.06    AC1<1, 1.4<AC2<12
0 7 9 0.161694 =671.362/4152.06    AC1<1, 1.4<AC2<13
0 7 10 0.173456 =756.904/4363.68    AC1<1, 1.4<AC2<14
0 7 11 0.172073 =858.667/4990.14    AC1<1, 1.4<AC2<15
0 7 12 0.189768 =966.162/5091.29    AC1<1, 1.4<AC2<16
0 7 13 0.20945 =1090.47/5206.35    AC1<1, 1.4<AC2<17
0 7 14 0.225061 =1185.13/5265.82    AC1<1, 1.4<AC2<18
0 7 15 0.255045 =1282.42/5028.23    AC1<1, 1.4<AC2<19
0 7 16 0.269628 =1382.32/5126.78    AC1<1, 1.4<AC2<20
0 7 17 0.283194 =1476.58/5214.03    AC1<1, 1.4<AC2<21
0 7 18 0.286446 =1558.58/5441.08    AC1<1, 1.4<AC2<22
0 7 19 0.300059 =1644/5478.93    AC1<1, 1.4<AC2<23
0 8 0 1 =7.32883/7.32883    AC1<1, 1.6<AC2<4
0 8 1 0.0250266 =22.5381/900.568    AC1<1, 1.6<AC2<5
0 8 2 0.133229 =164.272/1233.01    AC1<1, 1.6<AC2<6
0 8 3 0.15391 =257.715/1674.45    AC1<1, 1.6<AC2<7
0 8 4 0.0697232 =171.477/2459.39    AC1<1, 1.6<AC2<8
0 8 5 0.121207 =352.604/2909.11    AC1<1, 1.6<AC2<9
0 8 6 0.130979 =439.525/3355.68    AC1<1, 1.6<AC2<10
0 8 7 0.135895 =506.968/3730.58    AC1<1, 1.6<AC2<11
0 8 8 0.13964 =559.706/4008.22    AC1<1, 1.6<AC2<12
0 8 9 0.155189 =658.469/4243.01    AC1<1, 1.6<AC2<13
0 8 10 0.167172 =744.148/4451.38    AC1<1, 1.6<AC2<14
0 8 11 0.18313 =846.052/4619.96    AC1<1, 1.6<AC2<15
0 8 12 0.200349 =954.045/4761.92    AC1<1, 1.6<AC2<16
0 8 13 0.219494 =1078.38/4913.05    AC1<1, 1.6<AC2<17
0 8 14 0.234233 =1173.58/5010.28    AC1<1, 1.6<AC2<18
0 8 15 0.248998 =1270.56/5102.7    AC1<1, 1.6<AC2<19
0 8 16 0.263564 =1370.38/5199.39    AC1<1, 1.6<AC2<20
0 8 17 0.277102 =1464.68/5285.72    AC1<1, 1.6<AC2<21
0 8 18 0.29047 =1547.43/5327.34    AC1<1, 1.6<AC2<22
0 8 19 0.296619 =1632.5/5503.68    AC1<1, 1.6<AC2<23
0 9 0 0.0140475 =6.14675/437.568    AC1<1, 1.8<AC2<4
0 9 1 0.0242015 =21.7441/898.46    AC1<1, 1.8<AC2<5
0 9 2 0.123876 =165.34/1334.72    AC1<1, 1.8<AC2<6
0 9 3 0.124595 =226.806/1820.35    AC1<1, 1.8<AC2<7
0 9 4 0.0780986 =240.652/3081.39    AC1<1, 1.8<AC2<8
0 9 5 0.112602 =331.271/2941.96    AC1<1, 1.8<AC2<9
0 9 6 0.124187 =420.19/3383.53    AC1<1, 1.8<AC2<10
0 9 7 0.130756 =491.172/3756.41    AC1<1, 1.8<AC2<11
0 9 8 0.133937 =539.811/4030.32    AC1<1, 1.8<AC2<12
0 9 9 0.151119 =644.41/4264.24    AC1<1, 1.8<AC2<13
0 9 10 0.150655 =730.396/4848.12    AC1<1, 1.8<AC2<14
0 9 11 0.179698 =833.219/4636.77    AC1<1, 1.8<AC2<15
0 9 12 0.197004 =941.044/4776.77    AC1<1, 1.8<AC2<16
0 9 13 0.216231 =1065.48/4927.53    AC1<1, 1.8<AC2<17
0 9 14 0.231103 =1160.97/5023.61    AC1<1, 1.8<AC2<18
0 9 15 0.245942 =1257.99/5114.96    AC1<1, 1.8<AC2<19
0 9 16 0.260546 =1357.63/5210.7    AC1<1, 1.8<AC2<20
